dataset_index,image,depth_range,valid_pixels,mae_m,mae_cm,absrel_pct,delta1_pct,fps,peak_vram_gb,input_resolution,processed_resolution
26,2011_09_26_drive_0005_sync_image_0000000014_image_02.png,0-20m,34740,0.745161415011154,74.5161415011154,5.746770049669482,98.94358088658606,2.4105690919103804,2.415170669555664,1216x352,1344x392
26,2011_09_26_drive_0005_sync_image_0000000014_image_02.png,0-40m,42593,0.9540186508032188,95.40186508032188,5.946867830383914,98.46218862254361,2.4105690919103804,2.415170669555664,1216x352,1344x392
26,2011_09_26_drive_0005_sync_image_0000000014_image_02.png,0-80m,44295,1.1749172222104294,117.49172222104293,6.227723442404922,97.93656168867818,2.4105690919103804,2.415170669555664,1216x352,1344x392
27,2011_09_26_drive_0005_sync_image_0000000017_image_03.png,0-10m,5619,0.9530774716657132,95.30774716657132,12.021485373327248,98.55846235985051,2.430797031575786,2.415170669555664,1216x352,1344x392
27,2011_09_26_drive_0005_sync_image_0000000017_image_03.png,0-20m,34581,0.9551299622224267,95.51299622224268,7.355546008879671,98.9126977241838,2.430797031575786,2.415170669555664,1216x352,1344x392
27,2011_09_26_drive_0005_sync_image_0000000017_image_03.png,0-40m,41728,1.305415496927189,130.5415496927189,7.948676193186374,98.2170245398773,2.430797031575786,2.415170669555664,1216x352,1344x392
27,2011_09_26_drive_0005_sync_image_0000000017_image_03.png,0-80m,44062,1.5744709586227081,157.44709586227083,8.188170815948425,97.90295492714812,2.430797031575786,2.415170669555664,1216x352,1344x392
28,2011_09_26_drive_0005_sync_image_0000000020_image_02.png,0-10m,6141,0.9064126337725688,90.64126337725688,11.492521585859977,99.21836834391793,2.4096611993508423,2.415170669555664,1216x352,1344x392
28,2011_09_26_drive_0005_sync_image_0000000020_image_02.png,0-20m,36944,0.9528237385195331,95.28237385195331,7.445871058037978,99.09051537462105,2.4096611993508423,2.415170669555664,1216x352,1344x392
28,2011_09_26_drive_0005_sync_image_0000000020_image_02.png,0-40m,45121,1.4056797048089744,140.56797048089743,8.264389565877577,98.02087719687064,2.4096611993508423,2.415170669555664,1216x352,1344x392
28,2011_09_26_drive_0005_sync_image_0000000020_image_02.png,0-80m,48293,1.6919138781428449,169.1913878142845,8.494804569001174,97.69531816205247,2.4096611993508423,2.415170669555664,1216x352,1344x392
29,2011_09_26_drive_0005_sync_image_0000000023_image_03.png,0-10m,5617,0.9532115242543627,95.32115242543627,12.005955952755391,98.14847783514331,2.415705759379426,2.415170669555664,1216x352,1344x392
29,2011_09_26_drive_0005_sync_image_0000000023_image_03.png,0-20m,33910,0.8308711140389922,83.08711140389921,6.78965236540841,98.90002948982601,2.415705759379426,2.415170669555664,1216x352,1344x392
29,2011_09_26_drive_0005_sync_image_0000000023_image_03.png,0-40m,42314,1.1830881121321213,118.30881121321212,7.248284274838869,98.28425580186226,2.415705759379426,2.415170669555664,1216x352,1344x392
29,2011_09_26_drive_0005_sync_image_0000000023_image_03.png,0-80m,45342,1.499798145929804,149.9798145929804,7.577892302502375,97.62692426447886,2.415705759379426,2.415170669555664,1216x352,1344x392
30,2011_09_26_drive_0005_sync_image_0000000026_image_02.png,0-10m,11147,0.7761122434569376,77.61122434569376,9.58299548094853,98.9773033103077,2.4121535875959275,2.415170669555664,1216x352,1344x392
30,2011_09_26_drive_0005_sync_image_0000000026_image_02.png,0-20m,40068,0.8365900374534685,83.65900374534685,7.002640479514414,99.01168014375563,2.4121535875959275,2.415170669555664,1216x352,1344x392
30,2011_09_26_drive_0005_sync_image_0000000026_image_02.png,0-40m,49022,1.343665088095079,134.36650880950788,7.987272341902048,98.1294112847293,2.4121535875959275,2.415170669555664,1216x352,1344x392
30,2011_09_26_drive_0005_sync_image_0000000026_image_02.png,0-80m,52023,1.5965962773859026,159.65962773859025,8.224740407516249,98.01818426465218,2.4121535875959275,2.415170669555664,1216x352,1344x392
31,2011_09_26_drive_0005_sync_image_0000000029_image_03.png,0-10m,12179,0.6164859952534328,61.648599525343286,7.87486976855605,99.40881845800148,2.4281940526015786,2.415170669555664,1216x352,1344x392
